trial_id,camera,sync_frame,source_frame,relative_frame,relative_time_s,keypoint_id,keypoint,x_px,y_px,confidence
A10-R10,cam01,3979,3979,0,0.0,0,Nose,901.6886578120308,235.55000107244337,0.9767587780952454
A10-R10,cam01,3979,3979,0,0.0,1,LEye,902.7430607198847,229.22358362532032,1.023768663406372
A10-R10,cam01,3979,3979,0,0.0,2,REye,892.1990316413463,231.332389441028,1.0080976486206055
A10-R10,cam01,3979,3979,0,0.0,3,LEar,909.0694781670078,233.44119525673568,0.8811750411987305
A10-R10,cam01,3979,3979,0,0.0,4,REar,877.4373909313925,239.76761270385873,0.8950581550598145
A10-R10,cam01,3979,3979,0,0.0,5,LShoulder,921.7223130612539,271.3996999394741,0.8032373189926147
A10-R10,cam01,3979,3979,0,0.0,6,RShoulder,864.7845560371464,286.16134064942787,0.8129009008407593
A10-R10,cam01,3979,3979,0,0.0,7,LElbow,930.1575363240846,324.1198453321663,0.6788957118988037
A10-R10,cam01,3979,3979,0,0.0,8,RElbow,852.1317211429003,343.0990976735354,0.8182610273361206
A10-R10,cam01,3979,3979,0,0.0,9,LWrist,944.9191770340384,368.4047674620276,0.5557540655136108
A10-R10,cam01,3979,3979,0,0.0,10,RWrist,839.478886248654,397.9280488819352,0.8104607462882996
A10-R10,cam01,3979,3979,0,0.0,11,LHip,930.1575363240846,378.94879654056604,0.7232893705368042
A10-R10,cam01,3979,3979,0,0.0,12,RHip,889.0358229177847,387.38401980339677,0.7108396291732788
A10-R10,cam01,3979,3979,0,0.0,13,LKnee,947.0279828497461,461.1922233531659,0.817372739315033
A10-R10,cam01,3979,3979,0,0.0,14,RKnee,890.0902258256386,468.5730437081427,0.8284785151481628
A10-R10,cam01,3979,3979,0,0.0,15,LAnkle,954.4088032047231,535.0004269029348,0.8379299640655518
A10-R10,cam01,3979,3979,0,0.0,16,RAnkle,894.307837457054,538.1636356264964,0.8528739213943481
A10-R10,cam01,3979,3979,0,0.0,17,Head,890.0902258256386,213.4075400075127,0.7701035141944885
A10-R10,cam01,3979,3979,0,0.0,18,Neck,892.1990316413463,258.7468650452279,0.8954461812973022
A10-R10,cam01,3979,3979,0,0.0,19,Hip,908.0150752591541,384.22081107983536,0.9260096549987793
A10-R10,cam01,3979,3979,0,0.0,20,LBigToe,968.1160410068229,561.360499599281,0.7272059917449951
A10-R10,cam01,3979,3979,0,0.0,21,RBigToe,886.927017102077,561.360499599281,0.8266762495040894
A10-R10,cam01,3979,3979,0,0.0,22,LSmallToe,976.5512642696536,556.0884850600117,0.69378662109375
A10-R10,cam01,3979,3979,0,0.0,23,RSmallToe,879.5461967471002,559.2516937835733,0.7822540402412415
A10-R10,cam01,3979,3979,0,0.0,24,LHeel,948.0823857576,545.5444559814733,0.7020264863967896
A10-R10,cam01,3979,3979,0,0.0,25,RHeel,897.4710461806154,545.5444559814733,0.6536047458648682
