trial_id,source_frame,relative_frame,relative_time_s,keypoint,x_m,y_m,z_m
A10-R10,3979,0,0.0,Hip,3.9314522494740185,0.8936575663331013,0.05871905382271867
A10-R10,3979,0,0.0,RHip,3.9454011862249274,0.881407302440857,-0.055501626256262745
A10-R10,3979,0,0.0,RKnee,3.981198429527279,0.5009553118751198,-0.0019046216595213375
A10-R10,3979,0,0.0,RAnkle,4.0082814259357,0.1245753173623449,0.02464342404953817
A10-R10,3979,0,0.0,RBigToe,3.9047838308072866,0.0619473000877421,-0.0758323704702832
A10-R10,3979,0,0.0,RSmallToe,3.953622023909503,0.04987185593642981,-0.1029145014377826
A10-R10,3979,0,0.0,RHeel,4.025337572103761,0.05680675353777871,0.04823104833542785
A10-R10,3979,0,0.0,LHip,3.9077009590366045,0.9033514147757653,0.1816593176021226
A10-R10,3979,0,0.0,LKnee,3.7192736934924655,0.5366923543148081,0.14381859784520176
A10-R10,3979,0,0.0,LAnkle,3.7127523111927547,0.15070043417097267,0.17951480328538166
A10-R10,3979,0,0.0,LBigToe,3.5417715641976857,0.07855263953675573,0.11643998662971417
A10-R10,3979,0,0.0,LSmallToe,3.5489547921123403,0.0668614068230371,0.17733400763350765
A10-R10,3979,0,0.0,LHeel,3.749212681937784,0.08515103630862171,0.1870336943137925
A10-R10,3979,0,0.0,Neck,3.932614376906664,1.5076680900954829,-0.003432096280953478
A10-R10,3979,0,0.0,Head,3.9120704628963074,1.7565658597452145,-0.0279737152088442
A10-R10,3979,0,0.0,Nose,3.8313222579013457,1.6336391446614744,-0.03567280956909697
A10-R10,3979,0,0.0,RShoulder,3.9437115258196482,1.3912559796322632,-0.19230529253500211
A10-R10,3979,0,0.0,RElbow,3.9875382206762215,1.1117957534409952,-0.22668045910060486
A10-R10,3979,0,0.0,RWrist,4.017736878419983,0.8562092605724382,-0.2895839539029211
A10-R10,3979,0,0.0,LShoulder,3.945316828055479,1.4406944675486848,0.20250854358108447
A10-R10,3979,0,0.0,LElbow,3.9911024290745125,1.1735375624717328,0.2939028332776375
A10-R10,3979,0,0.0,LWrist,3.9275646506100115,0.9251678705453381,0.340189531062152
A10-R10,3980,1,0.016666666666666666,Hip,3.9285088734571496,0.8944189681804525,0.058852874451015204
A10-R10,3980,1,0.016666666666666666,RHip,3.942280321840261,0.8819050324148567,-0.05511947123561939
A10-R10,3980,1,0.016666666666666666,RKnee,3.981351067672646,0.500461298516609,-0.0014763019704437258
A10-R10,3980,1,0.016666666666666666,RAnkle,4.009043098896058,0.12304867279009714,0.02475521862434794
A10-R10,3980,1,0.016666666666666666,RBigToe,3.903183169629125,0.060450158745567355,-0.07624767894038269
A10-R10,3980,1,0.016666666666666666,RSmallToe,3.95299527499186,0.048895174280327657,-0.10555017816852454
A10-R10,3980,1,0.016666666666666666,RHeel,4.024353022518371,0.05474636365775292,0.04869833980085313
A10-R10,3980,1,0.016666666666666666,LHip,3.904598242236082,0.9044196189161755,0.1810506199759992
A10-R10,3980,1,0.016666666666666666,LKnee,3.719954208928342,0.5367388086475477,0.14367659594633767
A10-R10,3980,1,0.016666666666666666,LAnkle,3.7230972510829923,0.15028563272353243,0.1779077320292377
A10-R10,3980,1,0.016666666666666666,LBigToe,3.5503195590786003,0.07863905783912467,0.11234110524045898
A10-R10,3980,1,0.016666666666666666,LSmallToe,3.558208649917039,0.06706949664378267,0.17453971277881586
A10-R10,3980,1,0.016666666666666666,LHeel,3.7604217368769026,0.08468407302171016,0.18557138896269676
A10-R10,3980,1,0.016666666666666666,Neck,3.932959349800956,1.507618520422592,-0.0019010672552337926
A10-R10,3980,1,0.016666666666666666,Head,3.9121140425775662,1.7578362931488825,-0.02667771657673567
A10-R10,3980,1,0.016666666666666666,Nose,3.83464916775306,1.634011781599908,-0.032653693306894174
A10-R10,3980,1,0.016666666666666666,RShoulder,3.943352293514197,1.3925009936641224,-0.19057231461453789
A10-R10,3980,1,0.016666666666666666,RElbow,3.9851830879685184,1.1143839966313058,-0.2263924500990193
A10-R10,3980,1,0.016666666666666666,RWrist,4.018667835548573,0.8605291959736181,-0.289802530098083
A10-R10,3980,1,0.016666666666666666,LShoulder,3.943332398436872,1.440507897967045,0.20476857804489262
A10-R10,3980,1,0.016666666666666666,LElbow,3.981313427047853,1.1727579061235835,0.29850833339007726
A10-R10,3980,1,0.016666666666666666,LWrist,3.9078651753248037,0.9242888095183768,0.3414056657705097
A10-R10,3981,2,0.03333333333333333,Hip,3.925022899039425,0.8947551878193907,0.058626885871392816
A10-R10,3981,2,0.03333333333333333,RHip,3.939769389807806,0.8824691062916848,-0.055341016000094174
A10-R10,3981,2,0.03333333333333333,RKnee,3.9814203191502044,0.5007876686631875,-0.0008807272443426253
A10-R10,3981,2,0.03333333333333333,RAnkle,4.009599287068735,0.12183272516329201,0.024885384972422285
A10-R10,3981,2,0.03333333333333333,RBigToe,3.901184080897522,0.059493575153950644,-0.07711933350281958
A10-R10,3981,2,0.03333333333333333,RSmallToe,3.9530254563616993,0.04808755039204809,-0.10685067483319569
A10-R10,3981,2,0.03333333333333333,RHeel,4.02427196768508,0.054396622328257066,0.05010614120614212
A10-R10,3981,2,0.03333333333333333,LHip,3.9017804539538377,0.9030198074689232,0.17912434249753165
A10-R10,3981,2,0.03333333333333333,LKnee,3.7216251442201487,0.5370847916126253,0.14354258183248444
A10-R10,3981,2,0.03333333333333333,LAnkle,3.731661957337539,0.15014628345853384,0.17648209135483728
A10-R10,3981,2,0.03333333333333333,LBigToe,3.5599477691986983,0.07839560291736722,0.10657835466484082
A10-R10,3981,2,0.03333333333333333,LSmallToe,3.5670381476123376,0.06719117139817746,0.16948690166276914
