visual_sample_index,visual_time_s,imu_nearest_sample_index,imu_nearest_time_s,timing_error_s,timing_error_ms,abs_timing_error_ms,imu_sample_reuse_count
0,0.0,0,0.0,0.0,0.0,0.0,1
1,0.016666666666666666,1,0.02,0.003333333333333334,3.333333333333334,3.333333333333334,1
2,0.03333333333333333,2,0.04,0.006666666666666668,6.666666666666668,6.666666666666668,1
3,0.05,3,0.06,0.009999999999999995,9.999999999999995,9.999999999999995,2
4,0.06666666666666667,3,0.06,-0.006666666666666668,-6.666666666666668,6.666666666666668,2
5,0.08333333333333333,4,0.08,-0.003333333333333327,-3.333333333333327,3.333333333333327,1
6,0.1,5,0.1,0.0,0.0,0.0,1
7,0.11666666666666667,6,0.12,0.003333333333333327,3.333333333333327,3.333333333333327,1
8,0.13333333333333333,7,0.14,0.006666666666666682,6.666666666666682,6.666666666666682,2
9,0.15,7,0.14,-0.009999999999999981,-9.99999999999998,9.99999999999998,2
10,0.16666666666666666,8,0.16,-0.006666666666666654,-6.666666666666654,6.666666666666654,1
11,0.18333333333333332,9,0.18,-0.003333333333333327,-3.333333333333327,3.333333333333327,1
12,0.2,10,0.2,0.0,0.0,0.0,1
13,0.21666666666666667,11,0.22,0.003333333333333327,3.333333333333327,3.333333333333327,1
14,0.23333333333333334,12,0.24,0.006666666666666654,6.666666666666654,6.666666666666654,2
15,0.25,12,0.24,-0.010000000000000009,-10.000000000000009,10.000000000000009,2
16,0.26666666666666666,13,0.26,-0.006666666666666654,-6.666666666666654,6.666666666666654,1
17,0.2833333333333333,14,0.28,-0.0033333333333332993,-3.3333333333332993,3.3333333333332993,1
18,0.3,15,0.3,0.0,0.0,0.0,1
19,0.31666666666666665,16,0.32,0.003333333333333355,3.333333333333355,3.333333333333355,1
20,0.3333333333333333,17,0.34,0.00666666666666671,6.66666666666671,6.66666666666671,2
21,0.35,17,0.34,-0.009999999999999953,-9.999999999999954,9.999999999999954,2
22,0.36666666666666664,18,0.36,-0.006666666666666654,-6.666666666666654,6.666666666666654,1
23,0.3833333333333333,19,0.38,-0.0033333333333332993,-3.3333333333332993,3.3333333333332993,1
24,0.4,20,0.4,0.0,0.0,0.0,1
25,0.4166666666666667,21,0.42,0.0033333333333332993,3.3333333333332993,3.3333333333332993,1
