trial_id,device,sample,relative_time_s,valid,acc_x_g,acc_y_g,acc_z_g,gyro_x_deg_s,gyro_y_deg_s,gyro_z_deg_s,dynamic_acceleration_proxy_g,gyro_magnitude_deg_s
A10-R10,WTLhand,0,0.0,True,0.07723707164016344,-1.4014187635056996,0.23627123423695984,261.3876351321138,-36.21923200001479,-115.03765179961206,0.4232934384972229,287.8697446731746
A10-R10,WTLhand,1,0.02,True,0.07412339362287747,-1.4284467282317093,0.19108392389007195,278.6143184076633,-37.069782990260634,-122.20666708573683,0.44307567329203956,306.4874821471766
A10-R10,WTLhand,2,0.04,True,0.0689902215564458,-1.4524978156431858,0.15181686343435008,292.10189336422997,-38.235099194857796,-128.75845105408672,0.4620389581477222,321.50299786356
A10-R10,WTLhand,3,0.06,True,0.060268379991249385,-1.4738725360362661,0.11925517325473511,300.65382569847134,-39.85959020716222,-134.67083380236662,0.4799169998539652,331.83993628801574
A10-R10,WTLhand,4,0.08,True,0.04655924943286431,-1.4956246743082922,0.09019620451959734,305.9013455695912,-41.97571551924497,-140.47932140766227,0.49906513714957623,339.22269036400894
A10-R10,WTLhand,5,0.1,True,0.026831311118411222,-1.5188819766878936,0.06292902871842787,309.7924134342555,-45.32651593041562,-146.99039821486835,0.5204217970744502,345.8786053446736
A10-R10,WTLhand,6,0.12,True,0.003108950724599553,-1.5378852281588813,0.04063339544468078,310.7900959873532,-52.466164802678804,-155.29772913710488,0.5384250756501814,351.36955885231674
A10-R10,WTLhand,7,0.14,True,-0.0161550951293213,-1.5410765869263767,0.029594823560027104,302.2352550651419,-66.80657738350845,-166.76256067343203,0.5414453890595141,351.5949655901663
A10-R10,WTLhand,8,0.16,True,-0.018196890266882867,-1.5206904673655712,0.03406100620573286,276.1043512624699,-88.48659217251642,-182.08310567726426,0.5211807178950341,342.3707743856832
A10-R10,WTLhand,9,0.18,True,0.003966596486272016,-1.4827121633598381,0.051831205159359885,230.61879121190407,-110.50788850575765,-199.71551873519928,0.48362312164888,324.4738952607906
A10-R10,WTLhand,10,0.2,True,0.041954310894531006,-1.4435743314654979,0.07453992120520483,174.53357616027827,-120.4660265556961,-215.50736248022974,0.44610622518609344,302.353197510128
A10-R10,WTLhand,11,0.22,True,0.07437275980181327,-1.412399254272355,0.09305619175420482,122.63807473652736,-108.16790432007741,-224.81472194336277,0.41741398881675984,277.99649656524633
A10-R10,WTLhand,12,0.24,True,0.08014185335122297,-1.3774880735735107,0.10280544484238316,86.03728841715606,-72.98119462274838,-225.56056756768902,0.38364195837834814,252.20277438640196
A10-R10,WTLhand,13,0.26,True,0.05077051996937115,-1.3147697954682123,0.10374090597569222,66.13407984611625,-25.016712334601372,-219.08103723820827,0.3198331092778899,230.20871679954666
A10-R10,WTLhand,14,0.28,True,-0.005768590032071152,-1.2102491930934192,0.09735117674761855,56.245568780322394,20.05370368639206,-207.5765215030221,0.21417199672384823,215.99473909856735
A10-R10,WTLhand,15,0.3,True,-0.06829979420553993,-1.0725653331572058,0.08685372563264934,47.06801250940679,48.82674848199133,-190.70216365657956,0.07824154317825216,202.40248119084453
A10-R10,WTLhand,16,0.32,True,-0.11191334068568179,-0.927289281582834,0.079181417282018,31.457931665796412,56.63706299854156,-165.34642974161827,0.06263150020676134,177.58603604475942
A10-R10,WTLhand,17,0.34,True,-0.12231707554614485,-0.8046191151461813,0.08158411917426944,7.6596072193242035,49.16618023465656,-129.649351400322,0.18205785294421561,138.87021703787042
A10-R10,WTLhand,18,0.36,True,-0.10534520903802959,-0.728825496637943,0.09387820849439785,-19.625171820612234,37.49133671589921,-87.12679924987202,0.2576406963963285,96.85983091695434
A10-R10,WTLhand,19,0.38,True,-0.08062166718641488,-0.7085930455267446,0.1069348360109561,-42.359763579124866,29.826094656612533,-45.7647880343454,0.2788626923106291,69.12569216125888
A10-R10,WTLhand,20,0.4,True,-0.06379998287598537,-0.7326246934877017,0.11152495954608119,-55.320134486724584,27.013641041634152,-12.57197730598772,0.2561941140830628,62.83397723634742
A10-R10,WTLhand,21,0.42,True,-0.055317676722275444,-0.7772356414127621,0.10738092282929257,-59.64410465259427,25.22682824597809,10.669498981534916,0.2134340776337127,65.63269224767996
A10-R10,WTLhand,22,0.44,True,-0.04547737730672395,-0.8201392792626847,0.10165250134762323,-60.47168425591806,21.607153511064503,26.742673073040187,0.17233469308757265,69.56194536303354
A10-R10,WTLhand,23,0.46,True,-0.026868216806564614,-0.8483561292222199,0.09994750983866958,-62.0882695135779,16.723381154039323,39.420659046619065,0.14535415066460233,75.42289472092513
A10-R10,WTLhand,24,0.48,True,-0.0005679578335235063,-0.8585548699937169,0.10172532939158063,-65.88326491971188,13.13580854411359,50.98318348673888,0.1354395162824903,84.33527767803358
A10-R10,WTLhand,25,0.5,True,0.026110300157148412,-0.8564678012445648,0.10404739443782945,-71.8941408896773,13.30974795848192,62.38338625209396,0.13684027976723978,96.11245374695743
A10-R10,WTLhand,26,0.52,True,0.044624747104788594,-0.856955078352375,0.10639075102120889,-80.4895692087273,18.3527727235541,74.60478943573082,0.1353137180046462,111.27115360594887
A10-R10,WTLhand,27,0.54,True,0.05021146690968776,-0.8790914905944867,0.10984112197301513,-91.60647426128872,26.81483052481481,88.90355602420775,0.11265107633966787,130.44011475159067
A10-R10,WTLhand,28,0.56,True,0.046600806757426394,-0.9340556493627034,0.11311746708816461,-102.82978842350064,34.200630655458085,105.39590279527461,0.05796648007766392,151.16859743506234
A10-R10,WTLhand,29,0.58,True,0.04635862235627235,-1.0144190958226917,0.11179367564943277,-109.48189155936569,35.25644478197416,121.87900156455107,0.021612964753144448,167.58219625143045
A10-R10,WTLhand,30,0.6,True,0.06277564516201269,-1.0966355078731969,0.1020500526292178,-107.63358660083323,28.349607695319982,134.7848827364681,0.10316110881205254,174.80175581303828
A10-R10,WTLhand,31,0.62,True,0.09865403954327134,-1.1572243456033091,0.08485397060020744,-97.42841900416752,17.605621621961085,141.59017246030533,0.16451749746486555,172.77161711255206
A10-R10,WTLhand,32,0.64,True,0.14360865409053777,-1.1891289621351235,0.06669158439465991,-83.49145471156294,9.952029313990627,142.2990345731174,0.19962448355613427,165.2842434648892
A10-R10,WTLhand,33,0.66,True,0.18303185921007573,-1.2034760222059042,0.05581756753008517,-71.88264681040472,9.732229859821068,138.79363977861127,0.21859377905658883,156.60621205274293
A10-R10,WTLhand,34,0.68,True,0.2088878270868152,-1.215449651250454,0.05588724404967201,-66.05926083695473,15.94831536721868,132.94485458457095,0.23453447221103096,149.30676162146776
A10-R10,WTLhand,35,0.7,True,0.2222805871151781,-1.2289034034901358,0.06243825570190089,-65.0763087463363,23.87490663205323,125.18391553474025,0.25040424275232054,143.09419916735524
A10-R10,WTLhand,36,0.72,True,0.2284597539518595,-1.2354978791419735,0.0671967101288743,-65.30369351431695,28.660530839786645,114.68708487476009,0.25823855702811893,135.05230783552213
A10-R10,WTLhand,37,0.74,True,0.23140995515917462,-1.227262605977594,0.0667128432351911,-63.838817822990194,27.962421460846212,100.91295743467104,0.2506696905379171,122.64059953050888
A10-R10,WTLhand,38,0.76,True,0.2323481833279441,-1.206595597396767,0.06553753475455673,-60.462872290704446,22.50183965995619,84.83940359735571,0.23050956209806106,106.58243812410853
