Camera,Point_ID,X_m,Y_m,Z_m,Clicked_X_px,Clicked_Y_px,Projected_X_px,Projected_Y_px,Residual_px,Camera_true_RMSE_px,Robust_inlier_count,Robust_inlier_RMSE_px
cam01,P01,-2.700000047683716,0.75,0.0,980.278564453125,962.1795654296875,984.0712638049041,978.7860318207528,17.034062767600876,8.946770063264804,19,3.4554393974991564
cam01,P02,-1.350000023841858,0.75,0.0,1277.739990234375,813.4488525390625,1288.2435814925807,815.592044632949,10.720014070454962,8.946770063264804,19,3.4554393974991564
cam01,P03,0.0,0.75,0.0,1486.619140625,709.5560913085938,1493.683393053397,702.2345767409913,10.173899839084633,8.946770063264804,19,3.4554393974991564
cam01,P04,1.350000023841858,0.75,0.0,1646.285888671875,629.72265625,1640.793691271454,619.3622100759302,11.726170611541894,8.946770063264804,19,3.4554393974991564
cam01,P05,2.700000047683716,0.75,0.0,1768.77001953125,567.3870239257812,1750.8500510603435,556.3217445478947,21.06099897224641,8.946770063264804,19,3.4554393974991564
cam01,P06,-2.700000047683716,2.1500000953674316,0.0,674.0682983398438,821.1041259765625,660.7583868510337,823.795918766087,13.579377462229008,8.946770063264804,19,3.4554393974991564
cam01,P07,-1.350000023841858,2.1500000953674316,0.0,964.968017578125,712.8369140625,964.341287711816,714.6570913951011,1.9250547647894805,8.946770063264804,19,3.4554393974991564
cam01,P08,0.0,2.1500000953674316,0.0,1179.315185546875,635.1907348632812,1185.413724936835,633.0708400331591,6.456480216160542,8.946770063264804,19,3.4554393974991564
cam01,P09,1.350000023841858,2.1500000953674316,0.0,1347.73095703125,572.8550415039062,1352.707652313795,570.1201228443708,5.678668506752372,8.946770063264804,19,3.4554393974991564
cam01,P10,2.700000047683716,2.1500000953674316,0.0,1486.619140625,522.549072265625,1483.2632105311905,520.2214452174825,4.084129585331642,8.946770063264804,19,3.4554393974991564
cam01,P11,-2.700000047683716,3.549999952316284,0.0,457.5338439941406,723.77294921875,446.8489550556648,718.9330443549234,11.729941633207531,8.946770063264804,19,3.4554393974991564
cam01,P12,-1.350000023841858,3.549999952316284,0.0,738.5911254882812,639.5651245117188,733.8152621123864,641.0145606822603,4.990965457472862,8.946770063264804,19,3.4554393974991564
cam01,P13,0.0,3.549999952316284,0.0,954.031982421875,580.5103149414062,953.9924409678312,579.6359041906261,0.8753043400256961,8.946770063264804,19,3.4554393974991564
cam01,P14,1.350000023841858,3.549999952316284,0.0,1124.6348876953125,531.2979125976562,1127.427378966117,530.326471295923,2.9566375666003224,8.946770063264804,19,3.4554393974991564
cam01,P15,2.700000047683716,3.549999952316284,0.0,1271.1783447265625,490.8344421386719,1267.1553479210504,489.96960510409906,4.114905393022932,8.946770063264804,19,3.4554393974991564
cam01,P16,-2.700000047683716,4.949999809265137,0.0,298.9606628417969,653.7820434570312,295.7011631113186,643.7249782284416,10.572081134057512,8.946770063264804,19,3.4554393974991564
cam01,P18,0.0,4.949999809265137,0.0,779.0546264648438,537.8595581054688,774.9597313768178,537.4814456746269,4.1123150161796085,8.946770063264804,19,3.4554393974991564
cam01,P19,1.350000023841858,4.949999809265137,0.0,947.4703369140625,497.3960876464844,947.6416693224458,497.83430560973034,0.470520751374308,8.946770063264804,19,3.4554393974991564
cam01,P20,2.700000047683716,4.949999809265137,0.0,1091.8265380859375,463.4942321777344,1090.2705637823924,464.54820647380916,1.8793397378012826,8.946770063264804,19,3.4554393974991564
cam01,P21,-2.700000047683716,6.349999904632568,0.0,168.82130432128906,594.7272338867188,183.581126161145,587.3068587581495,16.520118274182472,8.946770063264804,19,3.4554393974991564
cam01,P22,-1.350000023841858,6.349999904632568,0.0,421.4447937011719,543.32763671875,430.20677775231445,541.8577333225726,8.884423476319146,8.946770063264804,19,3.4554393974991564
cam01,P23,0.0,6.349999904632568,0.0,628.13671875,502.8641357421875,632.7753911163935,503.50938537096226,4.6833351797812535,8.946770063264804,19,3.4554393974991564
cam01,P24,1.350000023841858,6.349999904632568,0.0,800.9268188476562,467.86865234375,801.3191139417793,470.9293134131608,3.0856995353857526,8.946770063264804,19,3.4554393974991564
cam01,P25,2.700000047683716,6.349999904632568,0.0,942.0022583007812,441.6220703125,943.3515504256552,443.0043133740591,1.9316275830177956,8.946770063264804,19,3.4554393974991564
cam01,P31,3.450000047683716,5.099999904632568,0.5,1143.2261962890625,374.9119567871094,1141.9501890938336,376.1568964514505,1.7827139787766564,8.946770063264804,19,3.4554393974991564
cam01,P32,3.450000047683716,5.099999904632568,1.0,1141.0389404296875,300.546630859375,1141.5249869218947,305.09425388186185,4.573523406219681,8.946770063264804,19,3.4554393974991564
