trial_id,relative_visual_frame,visual_sample_index,visual_time_s,imu_nearest_sample_index,imu_nearest_time_s,timing_error_s,timing_error_ms,abs_timing_error_ms,imu_sample_reuse_count
A10-R10,0,0,0.0,0,0.0,0.0,0.0,0.0,1
A10-R10,1,1,0.016666666666666666,1,0.02,0.003333333333333334,3.333333333333334,3.333333333333334,1
A10-R10,2,2,0.03333333333333333,2,0.04,0.006666666666666668,6.666666666666668,6.666666666666668,1
A10-R10,3,3,0.05,3,0.06,0.009999999999999995,9.999999999999995,9.999999999999995,2
A10-R10,4,4,0.06666666666666667,3,0.06,-0.006666666666666668,-6.666666666666668,6.666666666666668,2
A10-R10,5,5,0.08333333333333333,4,0.08,-0.003333333333333327,-3.333333333333327,3.333333333333327,1
A10-R10,6,6,0.1,5,0.1,0.0,0.0,0.0,1
A10-R10,7,7,0.11666666666666667,6,0.12,0.003333333333333327,3.333333333333327,3.333333333333327,1
A10-R10,8,8,0.13333333333333333,7,0.14,0.006666666666666682,6.666666666666682,6.666666666666682,2
A10-R10,9,9,0.15,7,0.14,-0.009999999999999981,-9.99999999999998,9.99999999999998,2
A10-R10,10,10,0.16666666666666666,8,0.16,-0.006666666666666654,-6.666666666666654,6.666666666666654,1
A10-R10,11,11,0.18333333333333332,9,0.18,-0.003333333333333327,-3.333333333333327,3.333333333333327,1
A10-R10,12,12,0.2,10,0.2,0.0,0.0,0.0,1
A10-R10,13,13,0.21666666666666667,11,0.22,0.003333333333333327,3.333333333333327,3.333333333333327,1
A10-R10,14,14,0.23333333333333334,12,0.24,0.006666666666666654,6.666666666666654,6.666666666666654,2
A10-R10,15,15,0.25,12,0.24,-0.010000000000000009,-10.000000000000009,10.000000000000009,2
A10-R10,16,16,0.26666666666666666,13,0.26,-0.006666666666666654,-6.666666666666654,6.666666666666654,1
A10-R10,17,17,0.2833333333333333,14,0.28,-0.0033333333333332993,-3.3333333333332993,3.3333333333332993,1
A10-R10,18,18,0.3,15,0.3,0.0,0.0,0.0,1
A10-R10,19,19,0.31666666666666665,16,0.32,0.003333333333333355,3.333333333333355,3.333333333333355,1
A10-R10,20,20,0.3333333333333333,17,0.34,0.00666666666666671,6.66666666666671,6.66666666666671,2
A10-R10,21,21,0.35,17,0.34,-0.009999999999999953,-9.999999999999954,9.999999999999954,2
A10-R10,22,22,0.36666666666666664,18,0.36,-0.006666666666666654,-6.666666666666654,6.666666666666654,1
A10-R10,23,23,0.38333333333333336,19,0.38,-0.003333333333333355,-3.333333333333355,3.333333333333355,1
A10-R10,24,24,0.4,20,0.4,0.0,0.0,0.0,1
A10-R10,25,25,0.4166666666666667,21,0.42,0.0033333333333332993,3.3333333333332993,3.3333333333332993,1
A10-R10,26,26,0.43333333333333335,22,0.44,0.006666666666666654,6.666666666666654,6.666666666666654,2
A10-R10,27,27,0.45,22,0.44,-0.010000000000000009,-10.000000000000009,10.000000000000009,2
A10-R10,28,28,0.4666666666666667,23,0.46,-0.006666666666666654,-6.666666666666654,6.666666666666654,1
A10-R10,29,29,0.48333333333333334,24,0.48,-0.003333333333333355,-3.333333333333355,3.333333333333355,1
A10-R10,30,30,0.5,25,0.5,0.0,0.0,0.0,1
A10-R10,31,31,0.5166666666666667,26,0.52,0.0033333333333332993,3.3333333333332993,3.3333333333332993,1
A10-R10,32,32,0.5333333333333333,27,0.54,0.00666666666666671,6.66666666666671,6.66666666666671,2
A10-R10,33,33,0.55,27,0.54,-0.010000000000000009,-10.000000000000009,10.000000000000009,2
A10-R10,34,34,0.5666666666666667,28,0.56,-0.006666666666666599,-6.666666666666599,6.666666666666599,1
A10-R10,35,35,0.5833333333333334,29,0.58,-0.0033333333333334103,-3.3333333333334103,3.3333333333334103,1
A10-R10,36,36,0.6,30,0.6,0.0,0.0,0.0,1
A10-R10,37,37,0.6166666666666667,31,0.62,0.0033333333333332993,3.3333333333332993,3.3333333333332993,1
A10-R10,38,38,0.6333333333333333,32,0.64,0.00666666666666671,6.66666666666671,6.66666666666671,2
A10-R10,39,39,0.65,32,0.64,-0.010000000000000009,-10.000000000000009,10.000000000000009,2
A10-R10,40,40,0.6666666666666666,33,0.66,-0.006666666666666599,-6.666666666666599,6.666666666666599,1
A10-R10,41,41,0.6833333333333333,34,0.68,-0.0033333333333332993,-3.3333333333332993,3.3333333333332993,1
A10-R10,42,42,0.7,35,0.7,0.0,0.0,0.0,1
A10-R10,43,43,0.7166666666666667,36,0.72,0.0033333333333332993,3.3333333333332993,3.3333333333332993,1
A10-R10,44,44,0.7333333333333333,37,0.74,0.00666666666666671,6.66666666666671,6.66666666666671,2
A10-R10,45,45,0.75,37,0.74,-0.010000000000000009,-10.000000000000009,10.000000000000009,2
A10-R10,46,46,0.7666666666666667,38,0.76,-0.00666666666666671,-6.66666666666671,6.66666666666671,1
A10-R10,47,47,0.7833333333333333,39,0.78,-0.0033333333333332993,-3.3333333333332993,3.3333333333332993,1
A10-R10,48,48,0.8,40,0.8,0.0,0.0,0.0,1
A10-R10,49,49,0.8166666666666667,41,0.82,0.0033333333333332993,3.3333333333332993,3.3333333333332993,1
A10-R10,50,50,0.8333333333333334,42,0.84,0.006666666666666599,6.666666666666599,6.666666666666599,2
A10-R10,51,51,0.85,42,0.84,-0.010000000000000009,-10.000000000000009,10.000000000000009,2
A10-R10,52,52,0.8666666666666667,43,0.86,-0.00666666666666671,-6.66666666666671,6.66666666666671,1
A10-R10,53,53,0.8833333333333333,44,0.88,-0.0033333333333332993,-3.3333333333332993,3.3333333333332993,1
A10-R10,54,54,0.9,45,0.9,0.0,0.0,0.0,1
A10-R10,55,55,0.9166666666666666,46,0.92,0.0033333333333334103,3.3333333333334103,3.3333333333334103,1
A10-R10,56,56,0.9333333333333333,47,0.94,0.006666666666666599,6.666666666666599,6.666666666666599,2
A10-R10,57,57,0.95,47,0.94,-0.010000000000000009,-10.000000000000009,10.000000000000009,2
A10-R10,58,58,0.9666666666666667,48,0.96,-0.00666666666666671,-6.66666666666671,6.66666666666671,1
A10-R10,59,59,0.9833333333333333,49,0.98,-0.0033333333333332993,-3.3333333333332993,3.3333333333332993,1
A10-R10,60,60,1.0,50,1.0,0.0,0.0,0.0,1
A10-R10,61,61,1.0166666666666666,51,1.02,0.0033333333333334103,3.3333333333334103,3.3333333333334103,1
A10-R10,62,62,1.0333333333333334,52,1.04,0.006666666666666599,6.666666666666599,6.666666666666599,2
A10-R10,63,63,1.05,52,1.04,-0.010000000000000009,-10.000000000000009,10.000000000000009,2
A10-R10,64,64,1.0666666666666667,53,1.06,-0.006666666666666599,-6.666666666666599,6.666666666666599,1
A10-R10,65,65,1.0833333333333333,54,1.08,-0.0033333333333331883,-3.3333333333331883,3.3333333333331883,1
A10-R10,66,66,1.1,55,1.1,0.0,0.0,0.0,1
A10-R10,67,67,1.1166666666666667,56,1.12,0.0033333333333334103,3.3333333333334103,3.3333333333334103,1
A10-R10,68,68,1.1333333333333333,57,1.14,0.006666666666666599,6.666666666666599,6.666666666666599,2
A10-R10,69,69,1.15,57,1.14,-0.010000000000000009,-10.000000000000009,10.000000000000009,2
A10-R10,70,70,1.1666666666666667,58,1.16,-0.006666666666666821,-6.666666666666821,6.666666666666821,1
A10-R10,71,71,1.1833333333333333,59,1.18,-0.0033333333333334103,-3.3333333333334103,3.3333333333334103,1
A10-R10,72,72,1.2,60,1.2,0.0,0.0,0.0,1
A10-R10,73,73,1.2166666666666666,61,1.22,0.0033333333333334103,3.3333333333334103,3.3333333333334103,1
A10-R10,74,74,1.2333333333333334,62,1.24,0.006666666666666599,6.666666666666599,6.666666666666599,2
A10-R10,75,75,1.25,62,1.24,-0.010000000000000009,-10.000000000000009,10.000000000000009,2
A10-R10,76,76,1.2666666666666666,63,1.26,-0.006666666666666599,-6.666666666666599,6.666666666666599,1
A10-R10,77,77,1.2833333333333334,64,1.28,-0.0033333333333334103,-3.3333333333334103,3.3333333333334103,1
A10-R10,78,78,1.3,65,1.3,0.0,0.0,0.0,1
A10-R10,79,79,1.3166666666666667,66,1.32,0.0033333333333334103,3.3333333333334103,3.3333333333334103,1
A10-R10,80,80,1.3333333333333333,67,1.34,0.006666666666666821,6.666666666666821,6.666666666666821,2
A10-R10,81,81,1.35,67,1.34,-0.010000000000000009,-10.000000000000009,10.000000000000009,2
A10-R10,82,82,1.3666666666666667,68,1.36,-0.006666666666666599,-6.666666666666599,6.666666666666599,1
A10-R10,83,83,1.3833333333333333,69,1.38,-0.0033333333333334103,-3.3333333333334103,3.3333333333334103,1
A10-R10,84,84,1.4,70,1.4,0.0,0.0,0.0,1
A10-R10,85,85,1.4166666666666667,71,1.42,0.0033333333333331883,3.3333333333331883,3.3333333333331883,1
A10-R10,86,86,1.4333333333333333,72,1.44,0.006666666666666599,6.666666666666599,6.666666666666599,2
